struguri,cireasa,portocala,lamaie,lubenita
struguri,banane,cireasa,pruna,cireasa
lamaie,pruna,cireasa,lamaie,struguri
struguri,lamaie,struguri,banane,cireasa
lubenita,lubenita,portocala,lamaie,septar
portocala,cireasa,cireasa,banane,struguri
lubenita,lubenita,struguri,stea,portocala
struguri,banane,struguri,banane,struguri
lubenita,cireasa,lamaie,portocala,cireasa
lamaie,cireasa,portocala,struguri,portocala
portocala,lamaie,portocala,septar,struguri
struguri,lamaie,lubenita,lamaie,portocala
septar,struguri,struguri,lubenita,banane
lubenita,lamaie,cireasa,portocala,lamaie
lamaie,septar,banane,portocala,struguri
portocala,banane,pruna,portocala,lamaie
struguri,portocala,struguri,banane,portocala
lamaie,stea,pruna,cireasa,cireasa
cireasa,struguri,banane,pruna,cireasa
portocala,stea,struguri,stea,banane
cireasa,lubenita,lubenita,struguri,lamaie
struguri,cireasa,pruna,pruna,septar
banane,portocala,pruna,lamaie,banane
banane,portocala,struguri,struguri,lamaie
lubenita,struguri,lubenita,struguri,cireasa
portocala,cireasa,septar,banane,banane
portocala,cireasa,banane,septar,cireasa
pruna,cireasa,lubenita,lubenita,cireasa
pruna,struguri,portocala,banane,pruna
lamaie,struguri,lubenita,lamaie,portocala
septar,struguri,pruna,pruna,cireasa
lamaie,portocala,struguri,lamaie,lamaie
cireasa,struguri,lamaie,banane,banane
cireasa,lamaie,lubenita,lamaie,cireasa
banane,struguri,pruna,lubenita,lubenita
lamaie,cireasa,pruna,pruna,pruna
lubenita,lubenita,stea,cireasa,portocala
portocala,banane,lamaie,lamaie,pruna
pruna,portocala,lamaie,septar,pruna
banane,struguri,cireasa,stea,banane